# ========
# Ratio-margin	01 percent
city_year	p0	p1	p2	p3	
c3_t1	8.1299e+08	9.56852e+07	1.52943e+10	4.26003e+08
c4_t0	3.20448e+08	1.04551e+08	8.79545e+09	1.09896e+08
c4_t1	3.28044e+08	9.62536e+07	8.49022e+09	6.73821e+07
c5_t0	5.65099e+08	8.82169e+07	1.00335e+10	5.03208e+07
c5_t1	4.12791e+08	8.82549e+07	1.1393e+10	1.2199e+08
c6_t0	1.03182e+09	1.11448e+08	1.68128e+10	1.64267e+08
c6_t1	1.0984e+09	1.03172e+08	1.93293e+10	1.03617e+08
# ========
# Ratio-margin	11 percent
city_year	p0	p1	p2	p3	
c0_t0	1.16197e+09	1.0423e+08	1.48659e+10	3.50194e+08
c0_t1	9.99589e+08	1.16885e+08	1.65387e+10	4.02238e+08
c1_t0	1.17483e+09	1.33926e+08	1.73393e+10	1.53458e+08
c1_t1	1.17216e+09	1.90527e+08	1.95541e+10	1.43688e+08
c2_t0	4.00839e+08	5.46506e+07	7.66554e+09	1.35654e+08
c2_t1	3.22144e+08	6.38795e+07	7.47709e+09	1.08116e+08
c3_t0	7.25214e+08	9.34316e+07	1.57552e+10	5.73997e+08
c3_t1	8.12084e+08	9.56852e+07	1.51579e+10	4.20354e+08
c4_t0	3.20091e+08	1.04551e+08	8.71681e+09	1.08906e+08
c4_t1	3.27678e+08	9.62536e+07	8.49148e+09	6.64884e+07
c5_t0	5.64469e+08	8.82169e+07	9.94377e+09	5.03208e+07
c5_t1	4.12331e+08	8.82549e+07	1.1394e+10	1.21466e+08
c6_t0	1.03067e+09	1.11448e+08	1.6814e+10	1.64267e+08
c6_t1	1.09717e+09	1.03172e+08	1.9331e+10	1.03172e+08
# ========
# Ratio-margin	12 percent
city_year	p0	p1	p2	p3	
c0_t0	1.15763e+09	1.0423e+08	1.47365e+10	3.47067e+08
c0_t1	9.95862e+08	1.16885e+08	1.63945e+10	3.98646e+08
c1_t0	1.17045e+09	1.33926e+08	1.71884e+10	1.52088e+08
c1_t1	1.16778e+09	1.90527e+08	1.93836e+10	1.42406e+08
c2_t0	3.99345e+08	5.46506e+07	7.59883e+09	1.34443e+08
c2_t1	3.20943e+08	6.38795e+07	7.47829e+09	1.08116e+08
c3_t0	7.2251e+08	9.34316e+07	1.56181e+10	5.68872e+08
c3_t1	8.09056e+08	9.56852e+07	1.50257e+10	4.166e+08
c4_t0	3.18898e+08	1.04551e+08	8.64095e+09	1.07934e+08
c4_t1	3.26456e+08	9.62536e+07	8.4933e+09	6.58948e+07
c5_t0	5.62365e+08	8.73435e+07	9.85724e+09	5.03208e+07
c5_t1	4.10794e+08	8.73811e+07	1.13964e+10	1.21466e+08
c6_t0	1.02683e+09	1.11448e+08	1.68178e+10	1.64267e+08
c6_t1	1.09308e+09	1.03172e+08	1.93351e+10	1.03172e+08
# ========
# Ratio-margin	13 percent
city_year	p0	p1	p2	p3	
c0_t0	1.15763e+09	1.0423e+08	1.46061e+10	3.43996e+08
c0_t1	9.95862e+08	1.16885e+08	1.62494e+10	3.95118e+08
c1_t0	1.17045e+09	1.33926e+08	1.70363e+10	1.50742e+08
c1_t1	1.16778e+09	1.90527e+08	1.9212e+10	1.41145e+08
c2_t0	3.99345e+08	5.46506e+07	7.53159e+09	1.33253e+08
